source_file,token_count,occurrence_count
A16286.txt,55196,4
A06468.txt,35223,4
A11791.txt,24392,4
A01581.txt,21909,4
A01049.txt,18041,4
A16679.txt,17629,4
A14803.txt,13636,4
A06694.txt,11205,4
A09740.txt,10453,4
A02325.txt,5995,4
A02325(1).txt,5972,4
A12467.txt,4054,4
A07216.txt,3105,4
A04095.txt,2399,4
A13820.txt,558134,3
A01160.txt,359629,3
A07267.txt,294469,3
A14095.txt,277305,3
A00919.txt,225225,3
A09411.txt,218824,3
A09376.txt,202680,3
A12807.txt,177855,3
A13833.txt,169533,3
A06098.txt,154295,3
A04187.txt,142594,3
A16156.txt,139300,3
A05335.txt,134667,3
A13830.txt,131130,3
A05817.txt,120009,3
A14305.txt,111926,3
A07988.txt,108602,3
A04390.txt,84382,3
A07432.txt,59048,3
A08063.txt,58088,3
A15992.txt,53056,3
A01287.txt,42916,3
A13542.txt,33431,3
A01551.txt,29507,3
A11802.txt,28680,3
A05781.txt,24808,3
A14399.txt,19171,3
A08179.txt,16629,3
A05599.txt,15243,3
A06704.txt,13519,3
A11056.txt,12595,3
B14999.txt,11011,3
A02059.txt,7316,3
A03233.txt,4556,3
A07768.txt,446213,2
A05099.txt,280997,2
A08578.txt,264591,2
A01956.txt,262071,2
A06134.txt,257344,2
A01743.txt,218845,2
A15093.txt,190336,2
A10746.txt,172319,2
A12473.txt,164960,2
A10130.txt,136465,2
A04393.txt,115610,2
A16556.txt,108816,2
A16523.txt,107195,2
A04391.txt,106429,2
A17001.txt,94078,2
A11229.txt,76661,2
A05146.txt,71074,2
A02823.txt,65545,2
A09043.txt,60224,2
A09109.txt,59616,2
A02178.txt,53087,2
A03696.txt,51313,2
A02522.txt,44837,2
A01395.txt,42030,2
A15794.txt,29932,2
A06288.txt,26741,2
A09810.txt,25471,2
A14872.txt,24333,2
A03192.txt,22993,2
A01576.txt,22963,2
A07367.txt,20230,2
A03415.txt,20097,2
A12136.txt,18240,2
A08134.txt,17335,2
A08257.txt,16152,2
A08256.txt,16146,2
